"";"species";"island";"bill_length_mm";"bill_depth_mm";"flipper_length_mm";"body_mass_g";"sex";"year";"body_mass_index"
"325";"Chinstrap";"Dream";51,5;18,7;187;3250;"male";2009;0,0929394606651606
"326";"Chinstrap";"Dream";49,8;17,3;198;3675;"female";2009;0,0937404346495256
"327";"Chinstrap";"Dream";48,1;16,4;199;3325;"female";2009;0,0839625261988334
"328";"Chinstrap";"Dream";51,4;19;201;3950;"male";2009;0,0977698571817529
"329";"Chinstrap";"Dream";45,7;17,3;193;3600;"female";2009;0,0966468898493919
"330";"Chinstrap";"Dream";50,7;19,7;203;4050;"male";2009;0,0982795020505229
"331";"Chinstrap";"Dream";42,5;17,3;187;3350;"female";2009;0,0957991363779347
"332";"Chinstrap";"Dream";52,2;18,8;197;3450;"male";2009;0,0888969053570048
"333";"Chinstrap";"Dream";45,2;16,6;191;3250;"female";2009;0,0890874701899619
"334";"Chinstrap";"Dream";49,3;19,9;203;4050;"male";2009;0,0982795020505229
"335";"Chinstrap";"Dream";50,2;18,8;202;3800;"male";2009;0,0931281246936575
"336";"Chinstrap";"Dream";45,6;19,4;194;3525;"female";2009;0,0936603252205335
"337";"Chinstrap";"Dream";51,9;19,5;206;3950;"male";2009;0,0930813460269582
"338";"Chinstrap";"Dream";46,8;16,5;189;3650;"female";2009;0,102180790011478
"339";"Chinstrap";"Dream";45,7;17;195;3650;"female";2009;0,0959894806048652
"340";"Chinstrap";"Dream";55,8;19,8;207;4000;"male";2009;0,0933510700366403
"341";"Chinstrap";"Dream";43,5;18,1;202;3400;"female";2009;0,0833251641995883
"342";"Chinstrap";"Dream";49,6;18,2;193;3775;"male";2009;0,101345002550404
"343";"Chinstrap";"Dream";50,8;19;210;4100;"male";2009;0,0929705215419501
"344";"Chinstrap";"Dream";50,2;18,7;198;3775;"female";2009;0,0962911947760433
